index,class,alias,confidence,numeric_value_text,ocr_text,bbox_abs
1,D1,柱宽,0.736127,80,80,"[2602.38134765625, 1153.9022216796875, 2781.059814453125, 1236.8165283203125]"
2,D1,柱宽,0.554470,80,80,"[1577.8079833984375, 1154.4986572265625, 1745.6407470703125, 1241.65625]"
3,D2,桩直径,0.790789,100,100,"[2584.71484375, 2042.414794921875, 2804.2451171875, 2153.91259765625]"
4,D2,桩直径,0.802735,100,100,"[1547.343505859375, 2045.624755859375, 1770.0250244140625, 2154.5594482421875]"
