epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,450.258,1.22536,0.81615,1.61223,0.81003,0.97436,0.90061,0.42153,1.95723,0.8126,1.55973,0.0014456,0.0014456,0.0014456
44,460.689,1.18603,0.79991,1.5193,0.75976,1,0.87688,0.43661,1.89832,1.25668,1.47924,0.0014324,0.0014324,0.0014324
45,470.986,1.22759,0.73822,1.55985,0.75667,0.97436,0.88721,0.42191,1.9978,0.84206,1.63641,0.0014192,0.0014192,0.0014192
46,481.571,1.2703,0.74008,1.62638,0.88791,0.94872,0.95185,0.50474,1.82346,0.75482,1.45689,0.001406,0.001406,0.001406
47,492.241,1.12489,0.69153,1.54032,0.80116,0.92308,0.88693,0.44111,1.95681,0.85413,1.51562,0.0013928,0.0013928,0.0013928
48,502.919,1.15886,0.76457,1.6145,0.79263,0.98017,0.91075,0.40613,2.03869,0.97298,1.61743,0.0013796,0.0013796,0.0013796
49,513.477,1.17953,0.68801,1.51004,0.79122,1,0.90658,0.47921,1.83814,0.9641,1.40142,0.0013664,0.0013664,0.0013664
50,524.512,1.24894,0.75293,1.57595,0.80014,0.92308,0.94985,0.52074,1.90135,0.86337,1.466,0.0013532,0.0013532,0.0013532
51,535.012,1.24124,0.76616,1.49886,0.75476,0.92308,0.9056,0.50076,1.80378,0.86691,1.39616,0.00134,0.00134,0.00134
52,545.83,1.24742,0.75016,1.60189,0.70761,0.86882,0.81465,0.36324,2.04215,0.96139,1.64746,0.0013268,0.0013268,0.0013268
53,556.275,1.09379,0.65168,1.51348,0.85509,0.90799,0.90168,0.41519,2.02109,0.91278,1.69901,0.0013136,0.0013136,0.0013136
54,566.701,1.1155,0.71448,1.50214,0.81779,1,0.92014,0.49592,1.73817,1.05912,1.39317,0.0013004,0.0013004,0.0013004
55,577.528,1.201,0.7259,1.53572,0.7451,1,0.86184,0.43373,1.84573,1.00066,1.45265,0.0012872,0.0012872,0.0012872
