epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.48183,3.35233,5.39529,2.94089,0.00366,0.14667,0.00372,0.0008,3.53015,3.42391,3.09571,3.75e-05,3.75e-05,3.75e-05
2,3.91358,3.23289,5.10823,2.78819,0.00338,0.13333,0.00278,0.0007,3.51263,3.42426,3.15196,8.66338e-05,8.66338e-05,8.66338e-05
3,5.29377,3.28438,4.93896,2.94065,0.00275,0.10667,0.00197,0.00053,3.51428,3.54216,3.1626,0.000134777,0.000134777,0.000134777
4,6.84771,3.33288,4.86342,2.906,0.5397,0.19,0.18455,0.07695,1.98926,11.1874,1.59753,0.000181931,0.000181931,0.000181931
5,9.01601,2.44753,3.35791,2.04891,0.56034,0.26667,0.28355,0.16139,1.51628,8.11482,1.32793,0.000228095,0.000228095,0.000228095
6,11.0362,2.0014,2.56914,1.67853,0.00854,0.16667,0.02549,0.00439,2.16003,32.1201,1.24001,0.000273269,0.000273269,0.000273269
7,12.9616,1.88111,3.56292,1.54086,0.00854,0.16667,0.02549,0.00439,2.16003,32.1201,1.24001,0.000317452,0.000317452,0.000317452
8,14.8691,1.70593,3.30324,1.51812,0.30811,0.32667,0.21036,0.13656,1.40672,28.2467,1.06691,0.000360646,0.000360646,0.000360646
9,16.7145,1.69233,2.54746,1.47906,0.60803,0.21333,0.24727,0.15008,1.55165,10.7353,1.09792,0.00040285,0.00040285,0.00040285
10,18.5414,1.73801,2.24685,1.39593,0.60803,0.21333,0.24727,0.15008,1.55165,10.7353,1.09792,0.000444064,0.000444064,0.000444064
11,20.4963,1.66222,3.86151,1.45027,0.20932,0.28333,0.20864,0.12376,1.4674,93.7465,1.14333,0.000484288,0.000484288,0.000484288
12,22.4475,1.6072,4.11282,1.35634,0.20932,0.28333,0.20864,0.12376,1.4674,93.7465,1.14333,0.000523521,0.000523521,0.000523521
13,24.4349,1.71916,2.88128,1.45052,0.59524,0.14667,0.16193,0.09418,1.68706,35.1894,1.48212,0.000561765,0.000561765,0.000561765
14,26.304,1.83142,2.87431,1.47058,0.59524,0.14667,0.16193,0.09418,1.68706,35.1894,1.48212,0.000599019,0.000599019,0.000599019
15,28.144,1.79568,3.05436,1.43348,0.82353,0.32,0.17374,0.10228,1.26679,14.1225,1.20782,0.000635282,0.000635282,0.000635282
16,29.986,1.63467,1.9926,1.41168,0.82353,0.32,0.17374,0.10228,1.26679,14.1225,1.20782,0.000670556,0.000670556,0.000670556
17,31.9311,1.54371,1.96584,1.38882,0.82353,0.32,0.17374,0.10228,1.26679,14.1225,1.20782,0.00070484,0.00070484,0.00070484
18,33.867,1.58384,1.87188,1.37362,0.25199,0.21333,0.22395,0.12034,1.62725,38.1589,1.98634,0.000738134,0.000738134,0.000738134
19,35.8064,1.62336,2.64237,1.49306,0.25199,0.21333,0.22395,0.12034,1.62725,38.1589,1.98634,0.000770438,0.000770438,0.000770438
20,37.7512,1.76762,2.77883,1.57935,0.25199,0.21333,0.22395,0.12034,1.62725,38.1589,1.98634,0.000801751,0.000801751,0.000801751
21,39.6875,1.73211,2.59051,1.49806,0.25199,0.21333,0.22395,0.12034,1.62725,38.1589,1.98634,0.000832075,0.000832075,0.000832075
22,41.6312,1.55293,2.3354,1.42233,0.2549,0.17333,0.24759,0.16087,1.56059,39.9086,1.67807,0.000861409,0.000861409,0.000861409
23,43.5623,1.50191,1.72274,1.33519,0.2549,0.17333,0.24759,0.16087,1.56059,39.9086,1.67807,0.000889753,0.000889753,0.000889753
24,45.4506,1.53667,1.81435,1.3605,0.2549,0.17333,0.24759,0.16087,1.56059,39.9086,1.67807,0.000917106,0.000917106,0.000917106
25,47.3646,1.6039,1.8215,1.46347,0.2549,0.17333,0.24759,0.16087,1.56059,39.9086,1.67807,0.00094347,0.00094347,0.00094347
26,49.2682,1.42387,2.02527,1.34677,0.13227,0.2,0.13075,0.07662,1.54226,22.324,1.48648,0.000940625,0.000940625,0.000940625
