epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,250.717,2.34644,2.79348,3.17922,0.02187,1,0.46177,0.19203,1.69124,2.55326,3.1067,0.008449,0.008449,0.008449
49,255.8,2.78365,3.11573,3.50784,0.01867,1,0.30892,0.15243,1.77436,2.48971,3.29742,0.008416,0.008416,0.008416
50,260.938,2.32724,2.64555,3.1563,0.01983,1,0.33784,0.19148,1.71532,2.46416,3.25788,0.008383,0.008383,0.008383
51,266.081,2.59024,2.64038,3.3449,0.01571,0.85714,0.29244,0.15635,1.82807,2.74354,3.54607,0.00835,0.00835,0.00835
52,271.367,2.53525,2.77562,3.37157,0.2439,0.42857,0.20012,0.12197,1.7807,2.28248,3.1416,0.008317,0.008317,0.008317
53,276.648,2.19057,2.61495,3.12102,0.24463,0.42857,0.3675,0.16865,1.85269,2.20393,2.76283,0.008284,0.008284,0.008284
54,281.716,2.43366,2.69121,3.17306,0.31916,1,0.73457,0.30356,1.75768,1.88593,2.61786,0.008251,0.008251,0.008251
55,287.449,2.5641,2.67289,3.25532,0.43973,0.89899,0.656,0.24479,1.62911,2.01628,2.57315,0.008218,0.008218,0.008218
56,292.628,2.44835,2.32329,3.15141,0.35244,0.71429,0.54876,0.24634,1.79182,1.8521,2.63235,0.008185,0.008185,0.008185
57,297.702,2.30913,2.39256,3.00875,0.4792,1,0.7015,0.35167,1.53119,1.83725,2.49088,0.008152,0.008152,0.008152
58,302.785,2.39232,2.17224,3.01342,0.44997,0.93738,0.4785,0.21721,1.7767,2.08544,2.72085,0.008119,0.008119,0.008119
59,307.658,2.47449,2.29278,3.10335,0.70819,0.71429,0.75417,0.32811,1.54034,1.89223,2.63503,0.008086,0.008086,0.008086
60,312.51,2.42879,2.36666,2.92917,0.50337,0.85714,0.76633,0.41175,1.56416,2.66435,2.44548,0.008053,0.008053,0.008053
61,317.633,2.34233,2.28791,2.89524,0.42877,0.42898,0.753,0.47111,1.52885,1.60136,2.4498,0.00802,0.00802,0.00802
62,322.746,2.58524,2.37253,3.07443,0.69093,0.96113,0.883,0.50842,1.56871,1.58256,2.46719,0.007987,0.007987,0.007987
63,327.88,2.26865,2.20877,2.96268,0.53568,0.85714,0.81625,0.45047,1.51108,1.54753,2.40651,0.007954,0.007954,0.007954
64,332.694,2.34856,2.09347,3.01604,0.63506,1,0.75273,0.41222,1.46837,2.04629,2.35773,0.007921,0.007921,0.007921
65,337.332,2.16177,1.95533,2.79933,0.66455,0.85714,0.81833,0.43219,1.46261,1.64616,2.37391,0.007888,0.007888,0.007888
66,342.139,2.55083,2.16052,3.18496,0.76444,0.9314,0.92389,0.42454,1.48569,1.45711,2.40447,0.007855,0.007855,0.007855
67,346.996,2.22317,2.07852,2.77454,0.59319,1,0.75409,0.4229,1.39268,1.65639,2.3578,0.007822,0.007822,0.007822
68,351.886,2.36389,2.36893,3.02662,0.77299,0.97538,0.93278,0.56163,1.34984,1.47002,2.32573,0.007789,0.007789,0.007789
69,356.994,2.31175,2.1636,3.0231,0.8028,1,0.9775,0.6188,1.32654,1.59287,2.26631,0.007756,0.007756,0.007756
70,362.124,2.19473,1.99787,2.73455,0.75717,0.89402,0.90944,0.51853,1.5265,1.52482,2.38574,0.007723,0.007723,0.007723
71,366.984,2.14511,2.14229,2.84997,0.58942,0.71429,0.82817,0.53741,1.54092,1.65987,2.38039,0.00769,0.00769,0.00769
72,371.822,2.18723,1.99751,2.81676,0.76412,1,0.96389,0.53328,1.35904,1.45373,2.31049,0.007657,0.007657,0.007657
73,376.68,2.1182,1.91713,2.81909,0.68408,1,0.823,0.41087,1.63022,1.68351,2.5074,0.007624,0.007624,0.007624
74,381.457,1.96301,1.74954,2.68618,0.49382,1,0.77214,0.43361,1.43171,1.53757,2.3495,0.007591,0.007591,0.007591
75,386.34,2.09114,1.89498,2.74153,1,0.97614,0.995,0.62358,1.35595,1.52905,2.34815,0.007558,0.007558,0.007558
76,391.494,2.14856,2.02005,2.66621,0.79846,0.85714,0.91038,0.47872,1.65697,1.51433,2.60126,0.007525,0.007525,0.007525
77,396.369,2.14895,2.19545,2.83267,1,0.8249,0.953,0.63402,1.2606,1.13009,2.28535,0.007492,0.007492,0.007492
