pier_index,pier_number,number_source,top_elevation,middle_elevation,bottom_elevation,pier_height,embed_depth,match_status,status
1,1,sequential_left_to_right,17.847,10.500,-11.607,7.347,22.107,valid_global_constraint,valid_global_constraint
2,2,sequential_left_to_right,17.847,10.500,-19.500,7.347,30.000,partial_constraint,partial_constraint
3,3,sequential_left_to_right,17.835,10.500,-11.607,7.335,22.107,rule_completed,rule_completed;inferred_bottom
