pier_index,pier_number,number_source,top_elevation,middle_elevation,bottom_elevation,pier_height,embed_depth,match_status,status
1,1,sequential_left_to_right,17.847,8.500,-13.600,9.347,22.100,local_geometry,local_geometry
2,2,sequential_left_to_right,17.847,10.500,,7.347,,local_geometry,local_geometry;missing_or_invalid_middle_bottom
3,3,sequential_left_to_right,17.835,10.500,,7.335,,local_geometry,local_geometry;missing_or_invalid_middle_bottom
