pier_index,pier_number,number_source,top_elevation,middle_elevation,bottom_elevation,pier_height,embed_depth,match_status,status
1,1,sequential_left_to_right,17.847,11.750,-19.500,6.097,31.250,valid_global_constraint,valid_global_constraint
2,2,sequential_left_to_right,17.847,10.500,-19.500,7.347,30.000,valid_global_constraint,valid_global_constraint
3,3,sequential_left_to_right,17.835,10.500,-19.500,7.335,30.000,rule_completed,rule_completed;inferred_bottom
