epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,172.034,0.48339,0.25923,0.87188,0.98265,0.9984,0.995,0.84739,0.66132,0.29733,0.97029,0.000685,0.000685,0.000685
44,175.965,0.47309,0.25526,0.85975,0.98277,0.99845,0.995,0.8431,0.66048,0.29756,0.97027,0.0006775,0.0006775,0.0006775
45,179.765,0.46119,0.25083,0.85224,0.98377,0.99842,0.995,0.84308,0.66731,0.29581,0.97289,0.00067,0.00067,0.00067
46,183.586,0.45767,0.24753,0.8595,0.98471,0.99846,0.995,0.85309,0.66531,0.30311,0.96982,0.0006625,0.0006625,0.0006625
47,187.486,0.45535,0.25076,0.85833,0.98636,0.99846,0.995,0.84873,0.6686,0.29779,0.97092,0.000655,0.000655,0.000655
48,191.479,0.4593,0.24373,0.84819,0.98788,0.99848,0.995,0.84073,0.67521,0.29719,0.97461,0.0006475,0.0006475,0.0006475
49,195.339,0.45309,0.24867,0.8515,0.98836,0.99852,0.995,0.84655,0.67246,0.29965,0.97414,0.00064,0.00064,0.00064
50,199.267,0.44843,0.25612,0.85904,0.98885,0.99854,0.995,0.84677,0.6759,0.29962,0.9781,0.0006325,0.0006325,0.0006325
51,203.087,0.44455,0.24486,0.85058,0.99088,0.9988,0.995,0.84156,0.68373,0.2949,0.98304,0.000625,0.000625,0.000625
52,206.877,0.44859,0.24267,0.85613,0.99251,0.99915,0.995,0.84391,0.68098,0.29296,0.98095,0.0006175,0.0006175,0.0006175
53,210.707,0.45611,0.24897,0.86345,0.99431,0.99993,0.995,0.84187,0.68482,0.29319,0.98306,0.00061,0.00061,0.00061
54,214.525,0.43317,0.24346,0.83725,0.99453,1,0.995,0.8443,0.69895,0.29627,0.98762,0.0006025,0.0006025,0.0006025
55,218.328,0.45154,0.24761,0.84064,0.99553,1,0.995,0.84214,0.69321,0.29303,0.98666,0.000595,0.000595,0.000595
56,222.13,0.44721,0.24556,0.86066,0.9962,1,0.995,0.84333,0.70007,0.29134,0.98851,0.0005875,0.0005875,0.0005875
57,226.193,0.43775,0.23877,0.84798,0.99635,1,0.995,0.8408,0.69957,0.29405,0.98867,0.00058,0.00058,0.00058
58,230.177,0.44244,0.23953,0.85662,0.99642,1,0.995,0.84165,0.69357,0.28719,0.9847,0.0005725,0.0005725,0.0005725
59,234.149,0.43128,0.24473,0.8395,0.99642,1,0.995,0.84165,0.69357,0.28719,0.9847,0.000565,0.000565,0.000565
60,238.146,0.41885,0.23604,0.82957,0.99634,1,0.995,0.84461,0.69103,0.29201,0.9868,0.0005575,0.0005575,0.0005575
61,242.139,0.42756,0.23632,0.84155,0.99643,1,0.995,0.84254,0.68607,0.28798,0.98461,0.00055,0.00055,0.00055
62,246.122,0.4324,0.24293,0.85818,0.9965,1,0.995,0.83911,0.68926,0.28505,0.98788,0.0005425,0.0005425,0.0005425
63,250.123,0.43083,0.23942,0.85018,0.99657,1,0.995,0.83682,0.6899,0.28279,0.98917,0.000535,0.000535,0.000535
64,254.241,0.41952,0.23881,0.84087,0.99603,1,0.995,0.84499,0.68448,0.28439,0.98566,0.0005275,0.0005275,0.0005275
65,258.221,0.41362,0.23109,0.85135,0.9961,1,0.995,0.83551,0.68588,0.28029,0.98687,0.00052,0.00052,0.00052
66,262.211,0.41878,0.23498,0.85539,0.99541,1,0.995,0.84931,0.68159,0.28103,0.9849,0.0005125,0.0005125,0.0005125
67,266.029,0.41975,0.23356,0.85729,0.99525,1,0.995,0.83773,0.68709,0.28147,0.9877,0.000505,0.000505,0.000505
68,270.013,0.42431,0.23052,0.84396,0.99479,1,0.995,0.83737,0.68617,0.28629,0.98849,0.0004975,0.0004975,0.0004975
69,273.99,0.4099,0.22692,0.83085,0.99426,1,0.995,0.83612,0.67986,0.27481,0.98481,0.00049,0.00049,0.00049
70,278.302,0.40167,0.23072,0.84787,0.99381,1,0.995,0.84248,0.6788,0.27659,0.98411,0.0004825,0.0004825,0.0004825
71,282.291,0.40902,0.23176,0.84086,0.99361,1,0.995,0.83902,0.68927,0.27992,0.98662,0.000475,0.000475,0.000475
72,286.382,0.41106,0.22788,0.84213,0.9933,1,0.995,0.83778,0.69056,0.28249,0.98928,0.0004675,0.0004675,0.0004675
73,290.538,0.40784,0.23346,0.84055,0.99283,1,0.995,0.83662,0.70006,0.28068,0.99398,0.00046,0.00046,0.00046
74,294.876,0.39621,0.22846,0.8352,0.99261,1,0.995,0.84667,0.689,0.28208,0.98989,0.0004525,0.0004525,0.0004525
75,298.938,0.39747,0.23047,0.86299,0.99261,1,0.995,0.84667,0.689,0.28208,0.98989,0.000445,0.000445,0.000445
76,303.006,0.40847,0.22856,0.85292,0.9919,1,0.995,0.83664,0.69316,0.28434,0.99238,0.0004375,0.0004375,0.0004375
77,306.828,0.40931,0.22901,0.83759,0.99129,0.99973,0.995,0.83772,0.68844,0.2832,0.99064,0.00043,0.00043,0.00043
78,310.815,0.38678,0.223,0.83723,0.99173,1,0.995,0.83521,0.68586,0.28274,0.99007,0.0004225,0.0004225,0.0004225
79,315.121,0.40036,0.22208,0.84206,0.99183,1,0.995,0.84097,0.68876,0.28638,0.99268,0.000415,0.000415,0.000415
80,319.088,0.3914,0.22259,0.83903,0.99139,0.99987,0.995,0.83552,0.67836,0.28315,0.98872,0.0004075,0.0004075,0.0004075
81,322.902,0.38677,0.22406,0.84903,0.99007,0.99933,0.995,0.84561,0.6759,0.28215,0.98673,0.0004,0.0004,0.0004
82,326.719,0.39434,0.22604,0.84617,0.99023,0.99943,0.995,0.83925,0.67209,0.2809,0.98387,0.0003925,0.0003925,0.0003925
83,330.519,0.38465,0.2178,0.83908,0.99106,1,0.995,0.84164,0.67333,0.27812,0.98452,0.000385,0.000385,0.000385
84,334.326,0.39083,0.22677,0.83017,0.99113,1,0.995,0.84504,0.67369,0.28045,0.98433,0.0003775,0.0003775,0.0003775
85,338.243,0.38252,0.21725,0.83589,0.99127,1,0.995,0.8509,0.67137,0.28066,0.98544,0.00037,0.00037,0.00037
86,342.343,0.40442,0.22749,0.84381,0.99214,1,0.995,0.84798,0.66813,0.27322,0.98665,0.0003625,0.0003625,0.0003625
