epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,461.513,0.76072,0.56563,0.99173,0.62484,0.7058,0.72431,0.4491,0.88945,0.58843,1.06555,0.000742625,0.000742625,0.000742625
43,472.36,0.77943,0.56583,1.00892,0.5779,0.67751,0.64536,0.4014,1.02153,0.61888,1.10354,0.00073025,0.00073025,0.00073025
44,483.199,0.75212,0.54503,0.9847,0.58057,0.66006,0.62289,0.39626,0.96537,0.62217,1.07357,0.000717875,0.000717875,0.000717875
45,494.128,0.73938,0.53156,0.97978,0.59245,0.69573,0.67082,0.41664,0.96306,0.58449,1.10008,0.0007055,0.0007055,0.0007055
46,504.676,0.70401,0.51003,0.96514,0.58385,0.71321,0.65268,0.4097,0.86498,0.55269,1.04523,0.000693125,0.000693125,0.000693125
47,515.362,0.72215,0.51693,0.97563,0.8398,0.65347,0.6373,0.40496,0.844,0.56217,1.01832,0.00068075,0.00068075,0.00068075
48,526.547,0.70482,0.5116,0.96977,0.57106,0.63991,0.63245,0.40528,0.89518,0.58381,1.02512,0.000668375,0.000668375,0.000668375
49,537.625,0.73115,0.53578,0.97732,0.76446,0.66008,0.63254,0.40485,0.95594,0.56387,1.06728,0.000656,0.000656,0.000656
50,548.717,0.72958,0.51773,0.97371,0.80263,0.69805,0.72196,0.4274,0.82716,0.52605,1.02143,0.000643625,0.000643625,0.000643625
51,559.591,0.74159,0.53929,0.98848,0.59554,0.76472,0.68776,0.42002,0.87533,0.55359,1.03246,0.00063125,0.00063125,0.00063125
52,570.715,0.74933,0.55943,0.99445,0.56791,0.67402,0.68011,0.4183,1.01032,0.5612,1.08029,0.000618875,0.000618875,0.000618875
53,581.3,0.75916,0.5323,0.99399,0.55245,0.66976,0.65318,0.42338,0.85508,0.55384,1.02491,0.0006065,0.0006065,0.0006065
54,591.962,0.70994,0.51129,0.97171,0.62067,0.61858,0.70376,0.45732,0.8185,0.55264,1.01407,0.000594125,0.000594125,0.000594125
55,603.212,0.72042,0.5233,0.98569,0.51866,0.75319,0.70885,0.42394,0.85945,0.51473,1.02438,0.00058175,0.00058175,0.00058175
56,613.908,0.68953,0.50193,0.9696,0.50314,0.71317,0.66796,0.43754,0.81344,0.5123,1.00826,0.000569375,0.000569375,0.000569375
57,624.694,0.70113,0.50149,0.98402,0.58798,0.66751,0.71429,0.4603,0.77883,0.4961,1.00281,0.000557,0.000557,0.000557
58,635.632,0.70455,0.50143,0.96743,0.5226,0.64921,0.628,0.42612,0.83854,0.53257,1.02041,0.000544625,0.000544625,0.000544625
59,646.805,0.6573,0.47994,0.95576,0.6313,0.72465,0.70319,0.44742,0.82499,0.51367,1.02202,0.00053225,0.00053225,0.00053225
60,657.913,0.69093,0.51902,0.97877,0.61172,0.70034,0.69964,0.45749,0.81467,0.51497,1.03708,0.000519875,0.000519875,0.000519875
61,669.026,0.69617,0.50665,0.97776,0.50315,0.7509,0.68854,0.42169,0.8441,0.51613,1.04159,0.0005075,0.0005075,0.0005075
62,680.131,0.69236,0.48641,0.97426,0.58097,0.74099,0.72519,0.46153,0.80883,0.50943,1.03579,0.000495125,0.000495125,0.000495125
63,690.993,0.70999,0.50456,0.98261,0.65168,0.73139,0.73359,0.433,0.95698,0.52826,1.06772,0.00048275,0.00048275,0.00048275
64,702.114,0.7009,0.49682,0.97033,0.61764,0.72858,0.73506,0.46644,0.81778,0.52409,1.02555,0.000470375,0.000470375,0.000470375
65,713.04,0.68309,0.48786,0.97231,0.55525,0.72324,0.69159,0.41648,0.8996,0.50459,1.06159,0.000458,0.000458,0.000458
66,724.003,0.69455,0.48095,0.95654,0.5386,0.71493,0.69289,0.42575,0.8415,0.49365,1.03282,0.000445625,0.000445625,0.000445625
67,735.093,0.66635,0.46891,0.95156,0.53244,0.71892,0.68972,0.43688,0.90919,0.49624,1.0679,0.00043325,0.00043325,0.00043325
68,746.247,0.69427,0.47732,0.97028,0.58525,0.66588,0.64283,0.41996,0.8584,0.48311,1.04611,0.000420875,0.000420875,0.000420875
69,756.937,0.63449,0.44489,0.94215,0.67434,0.71398,0.72457,0.43085,0.91891,0.50242,1.07858,0.0004085,0.0004085,0.0004085
70,767.921,0.66446,0.47913,0.95632,0.70921,0.72889,0.72728,0.4519,0.8406,0.50044,1.03569,0.000396125,0.000396125,0.000396125
71,778.819,0.70061,0.48337,0.9722,0.59248,0.71898,0.67756,0.42123,0.85334,0.48743,1.05629,0.00038375,0.00038375,0.00038375
72,789.622,0.69141,0.47532,0.95868,0.61372,0.71898,0.70649,0.4283,0.84897,0.50052,1.03699,0.000371375,0.000371375,0.000371375
73,800.651,0.65559,0.45668,0.94782,0.63662,0.73284,0.73118,0.45609,0.88805,0.49203,1.0599,0.000359,0.000359,0.000359
74,811.327,0.64133,0.4479,0.94233,0.61934,0.74832,0.74346,0.43895,0.85297,0.48576,1.06317,0.000346625,0.000346625,0.000346625
75,821.911,0.65954,0.45242,0.95064,0.64496,0.77254,0.74758,0.44032,0.85243,0.47618,1.04889,0.00033425,0.00033425,0.00033425
76,832.5,0.64888,0.46269,0.95705,0.62822,0.77247,0.7268,0.43252,0.80243,0.465,1.02915,0.000321875,0.000321875,0.000321875
77,843.096,0.63761,0.44146,0.93621,0.62086,0.76743,0.67447,0.42367,0.83407,0.47412,1.02852,0.0003095,0.0003095,0.0003095
78,854.215,0.63761,0.44265,0.94039,0.65649,0.6965,0.72747,0.45318,0.79758,0.45317,1.03082,0.000297125,0.000297125,0.000297125
79,864.889,0.65222,0.45271,0.95459,0.67582,0.66743,0.65696,0.41315,0.84988,0.45079,1.062,0.00028475,0.00028475,0.00028475
80,875.953,0.61705,0.4475,0.93706,0.69813,0.72053,0.74508,0.46178,0.83297,0.45725,1.053,0.000272375,0.000272375,0.000272375
81,886.649,0.6409,0.45526,0.93852,0.62758,0.68991,0.69635,0.44113,0.8501,0.47478,1.04705,0.00026,0.00026,0.00026
82,897.375,0.66717,0.46118,0.9578,0.61723,0.70271,0.68238,0.43148,0.86024,0.47861,1.05603,0.000247625,0.000247625,0.000247625
