epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,179.125,0.93952,0.56601,1.1471,0.96797,0.95762,0.99333,0.73055,0.9469,0.56633,1.1618,0.008581,0.008581,0.008581
45,183.097,1.02862,0.56944,1.17561,0.99101,0.94359,0.98648,0.69178,1.01385,0.58856,1.18391,0.008548,0.008548,0.008548
46,187.082,0.9591,0.56135,1.15411,0.96783,0.98148,0.98905,0.74313,0.93181,0.58281,1.14771,0.008515,0.008515,0.008515
47,191.305,0.9158,0.54958,1.13059,0.96733,0.96069,0.98972,0.76956,0.85003,0.54675,1.09615,0.008482,0.008482,0.008482
48,195.549,0.94265,0.53081,1.15379,0.96666,0.98148,0.98905,0.71512,0.91902,0.58969,1.16271,0.008449,0.008449,0.008449
49,199.591,0.92769,0.53281,1.15213,0.99524,0.94609,0.98922,0.74938,0.87415,0.55122,1.11609,0.008416,0.008416,0.008416
50,203.436,0.89221,0.52952,1.1383,0.97154,0.98148,0.99197,0.76198,0.89101,0.57067,1.15096,0.008383,0.008383,0.008383
51,207.257,0.84032,0.52278,1.11257,0.97779,0.97262,0.99412,0.74082,0.86441,0.54381,1.10554,0.00835,0.00835,0.00835
52,211.179,0.86576,0.51957,1.12234,0.98249,0.99477,0.995,0.76301,0.84204,0.5183,1.10931,0.008317,0.008317,0.008317
53,215.047,0.84637,0.49958,1.09983,0.98649,0.99807,0.995,0.75888,0.88525,0.49543,1.11682,0.008284,0.008284,0.008284
54,219.106,0.81084,0.49505,1.0855,0.99652,1,0.995,0.74977,0.8424,0.50796,1.10818,0.008251,0.008251,0.008251
55,222.932,0.77529,0.50937,1.0723,0.98982,0.99833,0.995,0.77102,0.83499,0.4974,1.08225,0.008218,0.008218,0.008218
56,227.002,0.80228,0.54608,1.07176,0.99499,1,0.995,0.76534,0.80581,0.4738,1.07603,0.008185,0.008185,0.008185
57,231.121,0.77343,0.50199,1.07325,0.98463,0.99736,0.995,0.74633,0.8876,0.50165,1.11104,0.008152,0.008152,0.008152
58,235.101,0.82744,0.50448,1.07264,0.9964,0.98296,0.995,0.76756,0.77102,0.46388,1.06768,0.008119,0.008119,0.008119
59,239.072,0.79982,0.4651,1.06056,0.9964,0.98296,0.995,0.76756,0.77102,0.46388,1.06768,0.008086,0.008086,0.008086
60,243.165,0.79457,0.46088,1.05754,0.98455,0.9976,0.995,0.75584,0.87676,0.46446,1.10543,0.008053,0.008053,0.008053
61,247.224,0.84724,0.46007,1.10618,0.99384,0.98327,0.995,0.77386,0.78235,0.44602,1.07687,0.00802,0.00802,0.00802
62,251.398,0.79963,0.44738,1.08383,0.98735,0.99152,0.995,0.76405,0.86668,0.4514,1.10181,0.007987,0.007987,0.007987
63,255.328,0.77809,0.42948,1.06193,0.99477,0.98292,0.995,0.79026,0.77385,0.44242,1.07637,0.007954,0.007954,0.007954
64,259.283,0.7761,0.42341,1.05599,0.98311,0.9972,0.995,0.77269,0.84793,0.44094,1.09558,0.007921,0.007921,0.007921
65,263.083,0.79308,0.4227,1.06091,0.9937,0.98148,0.99412,0.78622,0.79657,0.42709,1.08192,0.007888,0.007888,0.007888
66,267.134,0.74533,0.41334,1.04912,0.99401,0.98078,0.99412,0.77166,0.8189,0.44355,1.09442,0.007855,0.007855,0.007855
67,270.987,0.73485,0.41818,1.05666,0.99565,0.98148,0.99412,0.77398,0.82245,0.42974,1.10591,0.007822,0.007822,0.007822
68,274.796,0.71022,0.40141,1.02412,0.98682,0.99825,0.995,0.7779,0.78959,0.41773,1.08006,0.007789,0.007789,0.007789
69,278.734,0.70254,0.41803,1.022,0.98524,0.99819,0.995,0.77048,0.83586,0.43036,1.10042,0.007756,0.007756,0.007756
70,282.586,0.76736,0.42333,1.04511,0.99437,0.9798,0.99412,0.77205,0.78363,0.4274,1.07773,0.007723,0.007723,0.007723
71,286.404,0.74243,0.42479,1.03469,0.99024,0.9984,0.995,0.76391,0.8159,0.43465,1.08704,0.00769,0.00769,0.00769
72,290.484,0.74905,0.41517,1.04739,0.98517,0.99811,0.995,0.77711,0.7885,0.42944,1.08324,0.007657,0.007657,0.007657
73,294.307,0.73985,0.42192,1.04205,0.98987,0.99841,0.995,0.78897,0.78992,0.42357,1.07445,0.007624,0.007624,0.007624
