index,class,alias,confidence,numeric_value_text,ocr_text,bbox_abs
1,D1,柱宽,0.705433,,号,"[2624.849853515625, 1098.92919921875, 2763.3408203125, 1230.6990966796875]"
2,D1,柱宽,0.710401,,,"[1595.2613525390625, 1105.2391967773438, 1732.27880859375, 1237.403076171875]"
3,D1,柱宽,0.231821,200,200,"[2535.12841796875, 1274.2054443359375, 2869.73681640625, 1509.9989013671875]"
4,D1,柱宽,0.219149,100,100,"[1576.2137451171875, 1990.4056396484375, 1759.593017578125, 2155.28564453125]"
5,L1,柱距,0.673027,680,680 ·,"[2059.4183349609375, 1005.854248046875, 2307.6181640625, 1156.7413330078125]"
