index,class,alias,confidence,numeric_value_text,ocr_text,bbox_abs
1,D1,柱宽,0.277309,,,"[1575.6453857421875, 1146.5131225585938, 1745.1802978515625, 1240.5863037109375]"
2,D1,柱宽,0.874485,80,80,"[2602.71533203125, 1150.4077758789062, 2780.71044921875, 1239.525634765625]"
3,D2,桩直径,0.630221,100,100,"[1547.8046875, 2040.2138671875, 1773.2537841796875, 2152.8477783203125]"
4,D2,桩直径,0.855324,100,100,"[2585.927734375, 2041.8076171875, 2807.166748046875, 2149.2960205078125]"
5,L1,柱距,0.929129,680,680,"[2070.8931884765625, 1029.064208984375, 2271.0028076171875, 1157.4615478515625]"
6,L1,柱距,0.889848,480,480 I,"[2068.813720703125, 1309.493896484375, 2289.5263671875, 1441.438720703125]"
