index,class,alias,confidence,numeric_value_text,ocr_text,bbox_abs
1,D1,柱宽,0.820264,80,_80,"[2603.89794921875, 1152.3062744140625, 2780.493896484375, 1237.7587890625]"
2,D2,桩直径,0.641711,100,100,"[2584.89208984375, 2041.81591796875, 2804.819091796875, 2148.27685546875]"
3,D2,桩直径,0.732699,100,100,"[1543.637939453125, 2045.045654296875, 1769.1944580078125, 2149.730224609375]"
